,Comments
0,"['mann', 'arte', 'einfach', 'kommentare', 'mehr', 'durchlesen', 'verschwrungstheoretiker', 'religise', 'prediger', 'stoen']"
1,"['menschheit', 'ziemlich', 'schlecht', 'gemacht', 'naja', 'soviel', 'zerstrung', 'natur', 'fr', 'film', 'kauf', 'genommen', 'wurde', 'wunderwas', 'fr', 'affen']"
2,"['knnte', 'denken', 'alien', 'doku', 'propaganda', 'gemacht']"
3,"['rassismus', 'menschen']"
4,"['genauso', 'kindern', 'schule', 'vermittelt', 'schne', 'doku', 'leider', 'darstellungsweise', 'liebend', 'gerne', 'stunden', 'lang', 'sowas', 'reinziehen', 'gut']"
5,"['ganzen', 'zahlenangaben', 'reiner', 'bulshitvermutungen', 'haaren', 'herbeigezogene', 'theorienalles', 'blo', 'wissenschaft']"
6,"['trotzdem', 'beherrschen', 'arten']"
7,"['fehler', 'sonnensystem', 'befindet', 'rande', 'galaxy']"
8,"['schei', 'artenwo', 'penner']"
9,"['mensch', 'eliten']"
10,"['gute', 'doku', 'wer', 'htte', 'gedacht', 'ende', 'doku', 'mal', 'politischen', 'leitfaden', 'bringen', 'macht', 'traurig', 'immer', 'politik', 'meinungsmache', 'geht', 'deshalb', 'schau', 'liebsten', 'drogendokus']"
11,[]
12,"['ganze', 'universum', 'bzw', 'realitt', 'semiotischen', 'kontext', 'vorstellen', 'mensch', 'empfnger', 'sprich', 'menschen', 'gbe', 'universum', 'gar']"
13,"['redet', 'mal', 'klein']"
14,"['mensch', 'wei', 'erzhlt', 'dummen', 'volk', 'freimaurer', 'geschichten']"
15,"['film', 'technisch', 'gut', 'vergleiche', 'u', 'klassifizierungen', 'absolut', 'unpassend']"
16,"['warum', 'lange', 'pausen', 'wrtern', 'warum', 'bertrieben', 'sprechen', 'herrje', 'zurck', 'paris', 'frau', 'dreimal', 'schnell', 'sprechen', 'mehr', 'kopf', 'direkt', 'artikullieren']"
17,"['mensch', 'gott', 'perfektesten', 'lebewese', 'deswegen', 'liebt', 'gott', 'meisten', 'unbeschreiblich', 'gute', 'zuhause', 'geschnkt', 'nmlich', 'welt', 'planet', 'erde']"
18,"['brauchen', 'ganzheitliches', 'bewusstsein', 'lage', 'ego', 'aufzulsen', 'wer', 'ego', 'besiegt', 'teufel', 'besiegen']"
